"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires (NAF rév. 2, niveau groupe, poste 10.7)";"Codes"
"idBank";"010537273";""
"Période";"";""
"2019-01";"104.01";"A"
"2018-12";"95.64";"A"
"2018-11";"102.27";"A"
"2018-10";"111.41";"A"
"2018-09";"99.68";"A"
"2018-08";"103.07";"A"
"2018-07";"100.34";"A"
"2018-06";"100.71";"A"
"2018-05";"102.31";"A"
"2018-04";"101.85";"A"
"2018-03";"108.29";"A"
"2018-02";"94.63";"A"
"2018-01";"101.65";"A"
"2017-12";"98.89";"A"
"2017-11";"105.31";"A"
"2017-10";"108.65";"A"
"2017-09";"106.24";"A"
"2017-08";"106.96";"A"
"2017-07";"98.06";"A"
"2017-06";"103.26";"A"
"2017-05";"107.98";"A"
"2017-04";"99.11";"A"
"2017-03";"112.43";"A"
"2017-02";"97.59";"A"
"2017-01";"99.93";"A"
"2016-12";"102.98";"A"
"2016-11";"105.47";"A"
"2016-10";"106.86";"A"
"2016-09";"107.31";"A"
"2016-08";"101.58";"A"
"2016-07";"94.14";"A"
"2016-06";"103.19";"A"
"2016-05";"101.2";"A"
"2016-04";"102.28";"A"
"2016-03";"106.54";"A"
"2016-02";"94.31";"A"
"2016-01";"93.85";"A"
"2015-12";"102.68";"A"
"2015-11";"99.86";"A"
"2015-10";"110.54";"A"
"2015-09";"105.22";"A"
"2015-08";"95.48";"A"
"2015-07";"97.54";"A"
"2015-06";"104.3";"A"
"2015-05";"92.71";"A"
"2015-04";"102.91";"A"
"2015-03";"101.49";"A"
"2015-02";"90.88";"A"
"2015-01";"96.39";"A"
"2014-12";"94.04";"A"
"2014-11";"88.41";"A"
"2014-10";"104.6";"A"
"2014-09";"103.03";"A"
"2014-08";"90.61";"A"
"2014-07";"96.69";"A"
"2014-06";"99.7";"A"
"2014-05";"93.51";"A"
"2014-04";"108.08";"A"
"2014-03";"99.45";"A"
"2014-02";"93.69";"A"
"2014-01";"88.31";"A"
"2013-12";"92.44";"A"
"2013-11";"94.82";"A"
"2013-10";"100.7";"A"
"2013-09";"96.87";"A"
"2013-08";"89.74";"A"
"2013-07";"95.36";"A"
"2013-06";"96.13";"A"
"2013-05";"98.16";"A"
"2013-04";"101.49";"A"
"2013-03";"98.8";"A"
"2013-02";"93.21";"A"
"2013-01";"93.59";"A"
"2012-12";"94.44";"A"
"2012-11";"96.16";"A"
"2012-10";"100.82";"A"
"2012-09";"101.56";"A"
"2012-08";"92.64";"A"
"2012-07";"93.37";"A"
"2012-06";"104.81";"A"
"2012-05";"95.47";"A"
"2012-04";"97.86";"A"
