"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Exploitation de laiteries et fabrication de fromage (NAF rév. 2, niveau classe, poste 10.51)";"Codes"
"idBank";"010537263";""
"Période";"";""
"2019-01";"98.24";"A"
"2018-12";"95.97";"A"
"2018-11";"97.25";"A"
"2018-10";"98.34";"A"
"2018-09";"90.37";"A"
"2018-08";"91.01";"A"
"2018-07";"91.31";"A"
"2018-06";"92.22";"A"
"2018-05";"102.98";"A"
"2018-04";"98.52";"A"
"2018-03";"104.45";"A"
"2018-02";"94.57";"A"
"2018-01";"103.82";"A"
"2017-12";"100.01";"A"
"2017-11";"101.08";"A"
"2017-10";"102.74";"A"
"2017-09";"96.18";"A"
"2017-08";"96.91";"A"
"2017-07";"88.57";"A"
"2017-06";"95.6";"A"
"2017-05";"107.24";"A"
"2017-04";"101.15";"A"
"2017-03";"109.71";"A"
"2017-02";"96.42";"A"
"2017-01";"104.99";"A"
"2016-12";"102.15";"A"
"2016-11";"98.39";"A"
"2016-10";"95.82";"A"
"2016-09";"93.33";"A"
"2016-08";"94.82";"A"
"2016-07";"90.35";"A"
"2016-06";"97.03";"A"
"2016-05";"105.16";"A"
"2016-04";"103.52";"A"
"2016-03";"108.37";"A"
"2016-02";"99.56";"A"
"2016-01";"104.2";"A"
"2015-12";"104.5";"A"
"2015-11";"99.42";"A"
"2015-10";"102.55";"A"
"2015-09";"98.56";"A"
"2015-08";"93.02";"A"
"2015-07";"92.46";"A"
"2015-06";"96.99";"A"
"2015-05";"102.58";"A"
"2015-04";"105.84";"A"
"2015-03";"105.67";"A"
"2015-02";"96.48";"A"
"2015-01";"101.92";"A"
"2014-12";"102.71";"A"
"2014-11";"94.81";"A"
"2014-10";"101.67";"A"
"2014-09";"98.5";"A"
"2014-08";"93.64";"A"
"2014-07";"96.81";"A"
"2014-06";"96.35";"A"
"2014-05";"107.45";"A"
"2014-04";"108.98";"A"
"2014-03";"107.59";"A"
"2014-02";"98.06";"A"
"2014-01";"107.78";"A"
"2013-12";"100.9";"A"
"2013-11";"98.75";"A"
"2013-10";"103.27";"A"
"2013-09";"91.86";"A"
"2013-08";"92.38";"A"
"2013-07";"94.05";"A"
"2013-06";"95.73";"A"
"2013-05";"109.78";"A"
"2013-04";"106.21";"A"
"2013-03";"104.46";"A"
"2013-02";"95.93";"A"
"2013-01";"105.85";"A"
"2012-12";"93.62";"A"
"2012-11";"97.83";"A"
"2012-10";"100.39";"A"
"2012-09";"88.73";"A"
"2012-08";"91.61";"A"
"2012-07";"89.52";"A"
"2012-06";"93.93";"A"
"2012-05";"102.83";"A"
"2012-04";"100.03";"A"
"2012-03";"104.03";"A"
"2012-02";"98.24";"A"
"2012-01";"101.58";"A"
"2011-12";"97.19";"A"
"2011-11";"100.53";"A"
"2011-10";"94.18";"A"
"2011-09";"90.38";"A"
"2011-08";"92.39";"A"
"2011-07";"88.02";"A"
"2011-06";"92.73";"A"
"2011-05";"100.52";"A"
"2011-04";"100.13";"A"
"2011-03";"107.06";"A"
"2011-02";"95.33";"A"
"2011-01";"99.88";"A"
"2010-12";"99.77";"A"
"2010-11";"98.93";"A"
"2010-10";"97.22";"A"
"2010-09";"92.18";"A"
"2010-08";"87.1";"A"
"2010-07";"87.88";"A"
"2010-06";"94.5";"A"
"2010-05";"98.1";"A"
"2010-04";"98.68";"A"
"2010-03";"102.79";"A"
"2010-02";"91.11";"A"
"2010-01";"96.87";"A"
"2009-12";"96.8";"A"
"2009-11";"91.09";"A"
"2009-10";"94.06";"A"
"2009-09";"85.96";"A"
"2009-08";"82.26";"A"
"2009-07";"89.65";"A"
"2009-06";"92.1";"A"
"2009-05";"95.7";"A"
"2009-04";"100.7";"A"
"2009-03";"100.4";"A"
"2009-02";"91.61";"A"
"2009-01";"100.04";"A"
"2008-12";"97.05";"A"
"2008-11";"92.03";"A"
"2008-10";"96.07";"A"
"2008-09";"89.58";"A"
"2008-08";"83.9";"A"
"2008-07";"91.09";"A"
"2008-06";"90.41";"A"
"2008-05";"101.14";"A"
"2008-04";"103.16";"A"
"2008-03";"102.74";"A"
"2008-02";"100.41";"A"
"2008-01";"107.95";"A"
"2007-12";"97.35";"A"
"2007-11";"99.05";"A"
"2007-10";"98.68";"A"
"2007-09";"86.33";"A"
"2007-08";"89.12";"A"
"2007-07";"89.43";"A"
"2007-06";"90.13";"A"
"2007-05";"99.07";"A"
"2007-04";"97.64";"A"
"2007-03";"100.32";"A"
"2007-02";"90.86";"A"
"2007-01";"102.29";"A"
"2006-12";"93.74";"A"
"2006-11";"97.17";"A"
"2006-10";"95.51";"A"
"2006-09";"87.57";"A"
"2006-08";"87.47";"A"
"2006-07";"83.02";"A"
"2006-06";"91.59";"A"
"2006-05";"100.99";"A"
"2006-04";"93.88";"A"
"2006-03";"101.98";"A"
"2006-02";"90.32";"A"
"2006-01";"99.06";"A"
"2005-12";"95.47";"A"
"2005-11";"96.63";"A"
"2005-10";"92.83";"A"
"2005-09";"89.05";"A"
"2005-08";"88.42";"A"
"2005-07";"84.07";"A"
"2005-06";"93.03";"A"
"2005-05";"100.49";"A"
"2005-04";"99.08";"A"
"2005-03";"102.57";"A"
"2005-02";"91.96";"A"
"2005-01";"98.77";"A"
"2004-12";"98.33";"A"
"2004-11";"97.07";"A"
"2004-10";"92.86";"A"
"2004-09";"89.92";"A"
"2004-08";"84.55";"A"
"2004-07";"87.35";"A"
"2004-06";"93.41";"A"
"2004-05";"96.42";"A"
"2004-04";"100.04";"A"
"2004-03";"100.03";"A"
"2004-02";"89.83";"A"
"2004-01";"98.54";"A"
"2003-12";"96.92";"A"
"2003-11";"91.65";"A"
"2003-10";"96.84";"A"
"2003-09";"88.58";"A"
"2003-08";"80.97";"A"
"2003-07";"88.31";"A"
"2003-06";"89.44";"A"
"2003-05";"101.75";"A"
"2003-04";"101.63";"A"
"2003-03";"96.32";"A"
"2003-02";"89.21";"A"
"2003-01";"99.91";"A"
"2002-12";"93.11";"A"
"2002-11";"93.4";"A"
"2002-10";"96.44";"A"
"2002-09";"85.5";"A"
"2002-08";"85.76";"A"
"2002-07";"90.75";"A"
"2002-06";"90.41";"A"
"2002-05";"103.14";"A"
"2002-04";"101.04";"A"
"2002-03";"98.97";"A"
"2002-02";"90.69";"A"
"2002-01";"102.44";"A"
"2001-12";"92.18";"A"
"2001-11";"96.39";"A"
"2001-10";"97.28";"A"
"2001-09";"83.87";"A"
"2001-08";"87.35";"A"
"2001-07";"86.28";"A"
"2001-06";"91.77";"A"
"2001-05";"100.83";"A"
"2001-04";"95.85";"A"
"2001-03";"100.73";"A"
"2001-02";"88.85";"A"
"2001-01";"98.4";"A"
"2000-12";"92.39";"A"
"2000-11";"93.54";"A"
"2000-10";"91.64";"A"
"2000-09";"85.36";"A"
"2000-08";"85.5";"A"
"2000-07";"84.49";"A"
"2000-06";"89.9";"A"
"2000-05";"98.98";"A"
"2000-04";"93.82";"A"
"2000-03";"101.66";"A"
