"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Tréfilage à froid (NAF rév. 2, niveau classe, poste 24.34)";"Codes"
"idBank";"010537569";""
"Période";"";""
"1990-01";"111.92";"A"
"1990-02";"108.02";"A"
"1990-03";"117.61";"A"
"1990-04";"106.68";"A"
"1990-05";"108.61";"A"
"1990-06";"112.38";"A"
"1990-07";"115.31";"A"
"1990-08";"36.78";"A"
"1990-09";"110.08";"A"
"1990-10";"122.1";"A"
"1990-11";"108.09";"A"
"1990-12";"78.14";"A"
"1991-01";"113.48";"A"
"1991-02";"101.66";"A"
"1991-03";"102.62";"A"
"1991-04";"106.7";"A"
"1991-05";"95.31";"A"
"1991-06";"107.56";"A"
"1991-07";"113.99";"A"
"1991-08";"24.44";"A"
"1991-09";"106.1";"A"
"1991-10";"116.86";"A"
"1991-11";"100.49";"A"
"1991-12";"73.07";"A"
"1992-01";"119.38";"A"
"1992-02";"112.34";"A"
"1992-03";"120.39";"A"
"1992-04";"116.18";"A"
"1992-05";"97.3";"A"
"1992-06";"118.76";"A"
"1992-07";"116.1";"A"
"1992-08";"26.05";"A"
"1992-09";"111.95";"A"
"1992-10";"115.73";"A"
"1992-11";"102.54";"A"
"1992-12";"71.29";"A"
"1993-01";"99.65";"A"
"1993-02";"100.86";"A"
"1993-03";"109.92";"A"
"1993-04";"105.99";"A"
"1993-05";"89.87";"A"
"1993-06";"110.21";"A"
"1993-07";"115.75";"A"
"1993-08";"14.44";"A"
"1993-09";"107.88";"A"
"1993-10";"104.88";"A"
"1993-11";"100.18";"A"
"1993-12";"79.76";"A"
"1994-01";"109.2";"A"
"1994-02";"113.46";"A"
"1994-03";"127.63";"A"
"1994-04";"114.58";"A"
"1994-05";"116.99";"A"
"1994-06";"136.39";"A"
"1994-07";"130.28";"A"
"1994-08";"18.32";"A"
"1994-09";"126.31";"A"
"1994-10";"123.49";"A"
"1994-11";"128.3";"A"
"1994-12";"97.6";"A"
"1995-01";"136.35";"A"
"1995-02";"122.36";"A"
"1995-03";"137.53";"A"
"1995-04";"114.69";"A"
