"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Transport d'électricité (NAF rév. 2, niveau classe, poste 35.12)";"Codes"
"idBank";"010537868";""
"Période";"";""
"1990-01";"98.2";"A"
"1990-02";"90.11";"A"
"1990-03";"101.55";"A"
"1990-04";"112.5";"A"
"1990-05";"115.25";"A"
"1990-06";"116.6";"A"
"1990-07";"118.27";"A"
"1990-08";"107.59";"A"
"1990-09";"114.04";"A"
"1990-10";"117.68";"A"
"1990-11";"107.49";"A"
"1990-12";"96.88";"A"
"1991-01";"105.37";"A"
"1991-02";"97.65";"A"
"1991-03";"105.58";"A"
"1991-04";"110.85";"A"
"1991-05";"123.09";"A"
"1991-06";"121.03";"A"
"1991-07";"127.67";"A"
"1991-08";"115.89";"A"
"1991-09";"122.01";"A"
"1991-10";"127.56";"A"
"1991-11";"117.56";"A"
"1991-12";"105.1";"A"
"1992-01";"108.97";"A"
"1992-02";"102.71";"A"
"1992-03";"119.3";"A"
"1992-04";"124.84";"A"
"1992-05";"127.25";"A"
"1992-06";"127.47";"A"
"1992-07";"135.15";"A"
"1992-08";"121.18";"A"
"1992-09";"126.85";"A"
"1992-10";"127.18";"A"
"1992-11";"109.43";"A"
"1992-12";"107.9";"A"
"1993-01";"104.19";"A"
"1993-02";"97.19";"A"
"1993-03";"110.78";"A"
"1993-04";"115.56";"A"
"1993-05";"126.85";"A"
"1993-06";"127.34";"A"
"1993-07";"134.73";"A"
"1993-08";"120.11";"A"
"1993-09";"124.87";"A"
"1993-10";"113.13";"A"
"1993-11";"105.79";"A"
"1993-12";"107.76";"A"
"1994-01";"108.78";"A"
"1994-02";"99.55";"A"
"1994-03";"114.84";"A"
"1994-04";"122.11";"A"
"1994-05";"133.25";"A"
"1994-06";"132.64";"A"
"1994-07";"139.27";"A"
"1994-08";"126.76";"A"
"1994-09";"128.51";"A"
"1994-10";"121.9";"A"
"1994-11";"115.02";"A"
"1994-12";"114.62";"A"
"1995-01";"116.38";"A"
"1995-02";"103.88";"A"
"1995-03";"124.19";"A"
"1995-04";"120.84";"A"
"1995-05";"135.59";"A"
"1995-06";"136.36";"A"
"1995-07";"141.47";"A"
"1995-08";"130.44";"A"
"1995-09";"121.96";"A"
"1995-10";"118.47";"A"
"1995-11";"111.47";"A"
"1995-12";"103.37";"A"
"1996-01";"120.44";"A"
"1996-02";"110.36";"A"
"1996-03";"121.55";"A"
"1996-04";"130.38";"A"
"1996-05";"135.98";"A"
"1996-06";"133.99";"A"
"1996-07";"144.82";"A"
"1996-08";"129.58";"A"
"1996-09";"135.49";"A"
"1996-10";"137.73";"A"
"1996-11";"116.08";"A"
"1996-12";"111.1";"A"
"1997-01";"111.99";"A"
"1997-02";"103.05";"A"
"1997-03";"114.57";"A"
"1997-04";"136.08";"A"
"1997-05";"138.5";"A"
"1997-06";"135.59";"A"
"1997-07";"147.06";"A"
"1997-08";"135.27";"A"
"1997-09";"137.28";"A"
"1997-10";"140.05";"A"
"1997-11";"118.53";"A"
"1997-12";"115.92";"A"
"1998-01";"115.92";"A"
"1998-02";"108.56";"A"
"1998-03";"123.4";"A"
"1998-04";"128.69";"A"
"1998-05";"139.21";"A"
"1998-06";"138.67";"A"
"1998-07";"147.9";"A"
"1998-08";"126.27";"A"
"1998-09";"131.9";"A"
"1998-10";"135.62";"A"
"1998-11";"120.44";"A"
"1998-12";"114.41";"A"
"1999-01";"116.94";"A"
"1999-02";"106.75";"A"
"1999-03";"120.94";"A"
"1999-04";"131.15";"A"
"1999-05";"135.73";"A"
"1999-06";"137.93";"A"
"1999-07";"147.31";"A"
"1999-08";"132.24";"A"
"1999-09";"137.67";"A"
"1999-10";"139.86";"A"
"1999-11";"129.34";"A"
"1999-12";"127.31";"A"
"2000-01";"129.61";"A"
"2000-02";"124.66";"A"
"2000-03";"136.35";"A"
"2000-04";"138.17";"A"
"2000-05";"141.04";"A"
"2000-06";"137.21";"A"
"2000-07";"142.5";"A"
"2000-08";"131.95";"A"
"2000-09";"134.18";"A"
"2000-10";"140.67";"A"
"2000-11";"133.46";"A"
"2000-12";"126.53";"A"
"2001-01";"137.92";"A"
"2001-02";"117.62";"A"
"2001-03";"130.63";"A"
"2001-04";"132.27";"A"
"2001-05";"142.24";"A"
"2001-06";"141.47";"A"
"2001-07";"146.33";"A"
"2001-08";"136.75";"A"
"2001-09";"143.01";"A"
"2001-10";"146.3";"A"
"2001-11";"136.1";"A"
"2001-12";"123.83";"A"
"2002-01";"123.16";"A"
"2002-02";"112.05";"A"
"2002-03";"125.68";"A"
"2002-04";"129.09";"A"
"2002-05";"140.54";"A"
"2002-06";"139.95";"A"
"2002-07";"144.97";"A"
"2002-08";"128.05";"A"
"2002-09";"137.86";"A"
"2002-10";"143.99";"A"
"2002-11";"133.43";"A"
"2002-12";"134.47";"A"
"2003-01";"131.83";"A"
"2003-02";"122.07";"A"
"2003-03";"138.32";"A"
"2003-04";"140.47";"A"
"2003-05";"140.94";"A"
"2003-06";"137.12";"A"
"2003-07";"141.31";"A"
"2003-08";"123.43";"A"
"2003-09";"137.93";"A"
"2003-10";"144.87";"A"
"2003-11";"133.9";"A"
"2003-12";"122.36";"A"
"2004-01";"131.78";"A"
"2004-02";"124.17";"A"
"2004-03";"134.81";"A"
"2004-04";"138.33";"A"
"2004-05";"145.19";"A"
"2004-06";"143.27";"A"
"2004-07";"146.79";"A"
"2004-08";"131.64";"A"
"2004-09";"143.86";"A"
"2004-10";"147.55";"A"
"2004-11";"140.82";"A"
"2004-12";"135.0";"A"
"2005-01";"131.33";"A"
"2005-02";"119.7";"A"
"2005-03";"132.53";"A"
"2005-04";"139.19";"A"
"2005-05";"141.52";"A"
"2005-06";"137.74";"A"
"2005-07";"139.38";"A"
"2005-08";"124.51";"A"
"2005-09";"138.48";"A"
"2005-10";"141.37";"A"
"2005-11";"136.66";"A"
"2005-12";"128.93";"A"
"2006-01";"128.88";"A"
"2006-02";"115.68";"A"
"2006-03";"128.87";"A"
"2006-04";"123.39";"A"
"2006-05";"127.9";"A"
"2006-06";"125.59";"A"
"2006-07";"124.72";"A"
"2006-08";"112.78";"A"
"2006-09";"124.51";"A"
"2006-10";"127.95";"A"
"2006-11";"123.95";"A"
"2006-12";"124.36";"A"
"2007-01";"126.81";"A"
"2007-02";"116.62";"A"
"2007-03";"128.78";"A"
"2007-04";"123.4";"A"
"2007-05";"130.3";"A"
"2007-06";"125.04";"A"
"2007-07";"132.11";"A"
"2007-08";"124.02";"A"
"2007-09";"131.99";"A"
"2007-10";"139.47";"A"
"2007-11";"129.71";"A"
"2007-12";"123.64";"A"
"2008-01";"126.32";"A"
"2008-02";"118.42";"A"
"2008-03";"129.59";"A"
"2008-04";"138.63";"A"
"2008-05";"138.1";"A"
"2008-06";"135.44";"A"
"2008-07";"138.27";"A"
"2008-08";"125.24";"A"
"2008-09";"134.21";"A"
"2008-10";"132.47";"A"
"2008-11";"114.69";"A"
"2008-12";"106.68";"A"
"2009-01";"113.71";"A"
"2009-02";"104.29";"A"
"2009-03";"115.62";"A"
"2009-04";"119.83";"A"
"2009-05";"123.92";"A"
"2009-06";"125.15";"A"
"2009-07";"128.21";"A"
"2009-08";"114.63";"A"
"2009-09";"126.01";"A"
"2009-10";"132.7";"A"
"2009-11";"116.13";"A"
"2009-12";"108.91";"A"
"2010-01";"116.32";"A"
"2010-02";"108.36";"A"
"2010-03";"126.84";"A"
"2010-04";"121.76";"A"
"2010-05";"126.96";"A"
"2010-06";"126.45";"A"
"2010-07";"130.08";"A"
"2010-08";"118.91";"A"
"2010-09";"126.59";"A"
"2010-10";"129.67";"A"
"2010-11";"129.53";"A"
"2010-12";"128.45";"A"
"2011-01";"117.0";"A"
"2011-02";"106.93";"A"
"2011-03";"115.65";"A"
"2011-04";"111.74";"A"
"2011-05";"116.01";"A"
"2011-06";"112.23";"A"
"2011-07";"112.7";"A"
"2011-08";"101.68";"A"
"2011-09";"109.96";"A"
"2011-10";"111.95";"A"
"2011-11";"108.02";"A"
"2011-12";"105.93";"A"
"2012-01";"111.0";"A"
"2012-02";"108.61";"A"
"2012-03";"109.75";"A"
"2012-04";"108.54";"A"
"2012-05";"107.06";"A"
"2012-06";"100.82";"A"
"2012-07";"104.46";"A"
"2012-08";"91.52";"A"
"2012-09";"99.45";"A"
"2012-10";"104.32";"A"
"2012-11";"101.78";"A"
"2012-12";"98.14";"A"
"2013-01";"103.99";"A"
"2013-02";"97.32";"A"
"2013-03";"105.9";"A"
"2013-04";"100.49";"A"
"2013-05";"99.75";"A"
"2013-06";"97.13";"A"
"2013-07";"101.45";"A"
"2013-08";"88.88";"A"
"2013-09";"98.11";"A"
"2013-10";"102.73";"A"
"2013-11";"101.79";"A"
"2013-12";"100.38";"A"
"2014-01";"103.6";"A"
"2014-02";"95.66";"A"
"2014-03";"102.57";"A"
"2014-04";"100.04";"A"
"2014-05";"100.05";"A"
"2014-06";"96.24";"A"
"2014-07";"101.53";"A"
"2014-08";"88.69";"A"
"2014-09";"99.39";"A"
"2014-10";"103.89";"A"
"2014-11";"100.8";"A"
"2014-12";"103.02";"A"
"2015-01";"105.92";"A"
"2015-02";"98.24";"A"
"2015-03";"105.43";"A"
"2015-04";"99.84";"A"
"2015-05";"98.91";"A"
"2015-06";"98.4";"A"
"2015-07";"100.72";"A"
"2015-08";"90.94";"A"
"2015-09";"99.13";"A"
"2015-10";"104.37";"A"
"2015-11";"100.16";"A"
"2015-12";"97.93";"A"
"2016-01";"107.27";"A"
"2016-02";"101.15";"A"
"2016-03";"103.25";"A"
"2016-04";"99.68";"A"
"2016-05";"96.67";"A"
"2016-06";"94.43";"A"
"2016-07";"99.74";"A"
"2016-08";"91.66";"A"
"2016-09";"99.35";"A"
"2016-10";"102.75";"A"
"2016-11";"103.18";"A"
"2016-12";"104.91";"A"
"2017-01";"109.7";"A"
"2017-02";"95.43";"A"
"2017-03";"101.48";"A"
"2017-04";"97.62";"A"
"2017-05";"99.92";"A"
"2017-06";"98.82";"A"
"2017-07";"100.42";"A"
"2017-08";"92.4";"A"
"2017-09";"99.42";"A"
"2017-10";"102.91";"A"
"2017-11";"103.47";"A"
"2017-12";"104.43";"A"
"2018-01";"103.67";"A"
"2018-02";"97.81";"A"
"2018-03";"103.39";"A"
"2018-04";"94.42";"A"
"2018-05";"96.25";"A"
"2018-06";"96.55";"A"
"2018-07";"100.57";"A"
"2018-08";"91.92";"A"
"2018-09";"95.6";"A"
"2018-10";"100.24";"A"
"2018-11";"100.11";"A"
"2018-12";"97.95";"A"
"2019-01";"105.03";"A"
"2019-02";"94.4";"A"
